label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
A2,-325.77603,138.24408,32.658627,21.622107,17.098804,-0.20081413,-11.913918,-1.293534,9.194634,4.7128663,-2.3270519,-5.8282948,-15.059496,103.96409,29.824764,32.05174,8.570376,10.145539,4.7476296,9.938284,4.716501,4.4224153,3.0582013,4.3698196,3.972124,5.049906
A2,-305.03476,147.84818,28.397856,24.637953,28.099491,10.135444,-6.098704,-3.8843513,-0.42574862,-0.68163294,-4.459679,-14.983992,-13.026989,65.647,20.016321,23.115396,10.816032,11.165414,8.669994,3.6154542,3.7567072,5.2195315,5.038925,3.1889412,4.2937837,3.9348285
A2,-348.6519,122.47214,25.39711,11.180299,21.46611,11.455717,-4.770456,-2.5761166,5.4261785,2.716469,-9.266972,-14.295812,-7.9703846,92.63111,59.86913,13.730666,6.669607,13.098476,7.8945203,8.383249,4.469775,6.9026203,5.6715956,6.843261,9.058959,4.056432
A2,-281.30405,154.68106,-16.210985,18.147692,30.938824,7.3700175,-4.551395,-10.202569,-3.3871267,4.35121,-6.3813567,-26.67802,-26.637468,81.65533,23.824293,31.650864,20.675158,7.9911985,8.713397,11.190495,5.4072742,6.0454173,7.1786375,4.770477,6.5318365,6.234162
A2,-358.5251,129.25456,36.8347,10.931855,10.780548,6.070466,-3.1005077,-8.669583,-9.615379,-9.684187,-11.256112,-9.120284,-4.7274585,67.45973,31.198488,22.903759,12.817392,19.01761,10.959037,5.25401,4.2634797,5.3693857,6.141093,5.042852,3.656171,4.132526
A2,-391.78546,89.54151,27.131626,18.73992,19.436724,10.287597,2.0890849,-2.228984,-3.3291185,-3.7994182,-5.2984524,-5.593702,-4.4759207,94.13111,64.94306,21.790003,10.2598505,12.309314,8.085284,4.2432814,6.1059585,4.554132,3.9249434,5.1837764,4.552861,3.9036636
A2,-359.46655,118.46564,42.79825,25.972437,24.315935,17.232801,7.1361933,-2.8784947,-11.314145,-11.524815,-5.3279977,1.0301807,4.061223,72.55778,29.18179,27.292604,9.07476,13.641776,8.724143,4.239649,4.914408,4.178109,5.1337357,4.8841662,2.0427172,7.2277703
A2,-364.29697,133.28874,54.19743,18.56366,14.415676,10.41611,0.62271404,-8.0084505,-11.633784,-11.190621,-10.033993,-7.718573,-2.5168371,53.918888,32.702393,16.104853,6.9651933,12.70723,11.549306,3.589814,3.0876176,3.8545275,6.0919614,5.006485,3.3565702,4.0453935
A2,-396.2116,99.581024,33.02238,18.296614,23.073729,14.38705,2.454991,-0.7758056,-1.2089969,-3.1232316,-3.8002095,-3.2158418,-4.2883797,82.414215,62.45317,17.052551,8.945945,12.866292,8.135994,5.99513,6.720946,6.05859,6.62458,6.349784,3.7951326,3.4995377
A2,-360.1398,124.73006,23.642138,8.6074705,18.051931,14.329188,6.5928345,-0.94347775,-7.1398673,-11.566233,-10.160428,-5.871612,-2.9062881,71.17986,32.480484,26.555698,11.652733,19.645445,9.647299,5.159711,3.3258195,4.1475616,5.2509785,5.9346585,4.532984,5.277288
A2,-313.27814,159.0846,28.068867,14.288261,21.061783,10.172135,3.3819768,3.8793392,0.7422474,-3.8440394,-4.924703,-6.2684717,-13.411487,67.25209,16.286219,35.142227,18.392172,21.689653,8.068981,7.4718084,4.559794,5.263206,5.28501,5.8571286,3.0116677,5.2448974
A2,-350.54156,111.91149,26.31815,19.731873,14.861659,2.6273065,-3.7414787,-0.2170646,2.46796,1.5206043,-2.0662074,-4.7405825,-10.734222,116.55558,48.881752,24.42851,8.152802,11.575354,7.8054376,9.953509,5.2814813,6.5858374,6.7002225,5.655172,5.2767086,3.7782261
A2,-376.10007,104.493805,20.06359,19.826376,19.831728,5.9398108,3.8774927,6.600718,3.0624008,-0.80986166,-1.7049859,-2.947644,-8.453068,105.12492,65.13204,19.921112,14.448196,15.491719,7.303674,4.6949105,5.7133517,4.347597,7.072417,5.943916,3.6554403,6.3786364
A2,-307.54767,158.05798,25.358486,14.922842,19.876303,8.130822,1.2216238,1.8137571,1.1096661,-2.4572287,-4.4135256,-5.27871,-12.820208,73.156746,22.629524,35.390423,19.526613,19.732883,6.4687834,7.0249963,4.409481,5.7707205,5.6166,4.949279,4.199648,6.601063
A2,-347.20566,162.06941,39.77994,7.0723248,15.081133,12.361739,7.1594286,0.12671074,-6.056612,-3.7166831,-2.3301687,-6.8421826,-13.653791,57.779118,23.754864,28.589754,10.888433,17.218397,7.560636,5.587096,4.1791334,5.164912,6.223582,4.103056,4.7480097,5.7463555
A2,-375.7708,119.37136,26.385874,9.631725,18.72913,14.796672,6.130839,1.0909133,-1.018036,0.85045534,-1.1383504,-8.207559,-13.002543,91.2655,63.69279,17.558027,9.656022,15.46715,13.267903,4.330522,5.135116,5.5873165,5.9207764,3.5547287,6.928633,10.38311
A2,-306.7491,162.879,13.231865,10.351428,21.491568,11.497546,6.549287,3.1193297,1.8213282,0.2603304,-5.2873673,-9.820147,-19.24372,73.46715,17.647097,39.80329,19.205034,17.583372,9.72283,9.1818075,5.7853065,6.6259503,6.640678,3.9747365,4.729562,4.5160785
A2,-326.54333,130.05777,26.81255,24.328257,25.382639,6.910235,-12.583409,-6.5168843,6.758442,6.736307,-3.956939,-7.944279,-8.32052,113.365746,29.111303,31.431805,8.601463,10.681021,4.4118414,9.510794,5.6838045,5.5339446,3.5482244,3.5948849,4.154243,3.9344716
